"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"7280_728002_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7280_728003_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7280_728004_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7280_728005_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7280_728006_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7280_728007_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7280_728001_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7280_728002_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7280_728003_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7280_728004_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7280_728005_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7280_728006_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7280_728007_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7284_728401_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7284_728402_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7284_728403_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7284_728404_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7284_728405_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7284_728406_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7284_728407_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7284_728401_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7284_728402_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7284_728403_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7284_728404_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7284_728405_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7284_728406_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7284_728407_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7286_728601_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7286_728602_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7286_728603_20241225","0","0","1","0","0","0","0","20241225","20250107"
